Date;Name;Genre
2  2024;Final Fantasy XIV: Dawntrail;RPG
2  2024;The First Descendant;Action
4  2024;Zenless Zone Zero;Action
5  2024;The Legend of Heroes: Trails through Daybreak;RPG
9  2024;Ark of Charon;Strategy
9  2024;Once Human;Action
11  2024;Anger Foot;Action
12  2024;Kaku: Ancient Seal;Action
12  2024;The Last Alchemist;Sim
15  2024;Renaissance Kingdom Wars;Strategy
15  2024;The Crust;Strategy
16  2024;Aerial_Knight's We Never Yield;Action
16  2024;Avatar: Frontiers of Pandora - The Sky Breaker;Action
16  2024;Cataclismo;Strategy
16  2024;EvilVEvil;Action
16  2024;Flock;Adventure
16  2024;Gestalt: Steam & Cinder;Action
16  2024;Hot Lap Racing;Racing
16  2024;Magical Delicacy;Adventure
17  2024;Asphalt Legends Unite;Racing
17  2024;Bo: Path of the Teal Lotus;Action
17  2024;Nobody Wants to Die;Adventure
18  2024;Dungeons of Hinterberg;Action
18  2024;Flintlock: The Siege of Dawn;RPG
18  2024;Meifumado;RPG
18  2024;Metal Slug: Awakening;Action
18  2024;Norland;Strategy
18  2024;SCHiM;Action
18  2024;Space Prison;RPG
19  2024;Kunitsu-Gami: Path of the Goddess;Action
23  2024;Conscript;Adventure
23  2024;Exophobia;Action
23  2024;F1 Manager 2024;Strategy
23  2024;Rawmen;Action
23  2024;The Star Named EOS;Adventure
25  2024;7 Days to Die;Action
25  2024;Earth Defense Force 6;Action
25  2024;Harvest Days;RPG
25  2024;Lost Castle 2;Action
